,CO2,Hour,name
0,396.54204133144026,0,CO2
1,363.40116737655785,1,CO2
2,345.35415680706734,2,CO2
3,331.5728032812746,3,CO2
4,327.143082505127,4,CO2
5,327.79933743492666,5,CO2
6,334.5259504653731,6,CO2
7,366.02618709575637,7,CO2
8,380.6278592837986,8,CO2
9,382.1044328758479,9,CO2
10,376.69032970500086,10,CO2
11,375.5418835778514,11,CO2
12,377.18252090235046,12,CO2
13,372.424672661303,13,CO2
14,377.18252090235046,14,CO2
15,388.0107272440448,15,CO2
16,403.9249092916864,16,CO2
17,425.9094494399748,17,CO2
18,448.22211705316283,18,CO2
19,460.85502445180634,19,CO2
20,463.31598043855485,20,CO2
21,458.23000473260765,21,CO2
22,450.1908818425618,22,CO2
23,427.22195929957405,23,CO2
